areas,bathrooms,bedrooms,r$_pmo,coord,class,class_distance
41.0,1.0,1.0,1100,"(-23.8277352, -49.431700299999996)",0.0,
200.0,4.0,3.0,4500,"(-22.9729585, -43.3822057)",0.0,"[(31.062532951764982, (22.52162861009087, 22.17195414376604))]"
54.0,,2.0,2200,"(-22.9690461, -43.18946629999999)",0.0,"[(59.96826177736338, (42.20656354028479, 44.251525145266385))]"
28.0,1.0,1.0,750,"(-22.9287208, -43.2638385)",1.0,0
104.0,1.0,2.0,1650,"(-22.927070999999998, -43.2286731)",0.0,"[(60.458345561372006, (41.9486822966578, 45.267739710189))]"
40.0,1.0,1.0,2800,"(-22.9842762, -43.219898799999996)",0.0,"[(53.21554243087599, (38.59622612950687, 37.96947147119934))]"
77.0,,2.0,1700,"(-22.9691174, -43.385907399999994)",0.0,"[(30.92122398899535, (22.09182653737921, 22.449103570563114))]"
79.0,2.0,2.0,3250,"(-22.954389499999998, -43.1867818)",0.0,"[(61.57094710357964, (42.80828644208111, 46.00680484831453))]"
100.0,3.0,2.0,13000,"(-22.9862375, -43.209178200000004)",0.0,"[(52.34554281628704, (37.90854281316822, 37.415172617605194))]"
400.0,1.0,3.0,25000,"(-22.9862375, -43.209178200000004)",0.0,"[(52.34554281628704, (37.90854281316822, 37.415172617605194))]"
160.0,5.0,3.0,6500,"(-22.9938255, -43.35094820000001)",0.0,"[(34.865476070701725, (24.2408369009375, 26.052046118925098))]"
88.0,2.0,2.0,2800,"(-22.938056600000003, -43.1832597)",0.0,"[(65.5389759597251, (46.41862385285904, 48.03923397815975))]"
97.0,2.0,3.0,2980,"(-22.9631893, -43.2225979)",0.0,"[(58.85094542430504, (40.91715732214982, 43.97437571846931))]"
48.0,1.0,2.0,1500,"(-22.9548472, -43.3765899)",0.0,"[(34.371152677812084, (23.81103482822584, 25.77489669212802))]"
198.0,2.0,4.0,6000,"(-23.014923800000002, -43.407209)",0.0,
124.0,4.0,3.0,2890,"(-23.0111148, -43.46874260000001)",0.0,"[(10.756370277131383, (7.478556065182845, 8.03733337711519))]"
190.0,1.0,4.0,4480,"(-22.9274038, -43.2370177)",0.0,"[(60.0935422019496, (41.175038565776816, 45.54488913698607))]"
120.0,2.0,3.0,6000,"(-22.981271300000003, -43.2004164)",0.0,"[(56.74966466317987, (39.28390944584552, 42.588628584483935))]"
